1. Pebble Beach Golf Links — Pebble Beach, CA
2. Pacific Dunes Golf Course — Bandon, OR
3. Shadow Creek Golf Club — North Las Vegas, NV
4. Whistling Straits Resort (Straits) — Haven, WI
5. The Ocean Course — Kiawah Island, SC
6. Pinehurst Resort (No.2) — Pinehurst, NC
7. Bethpage State Park (Black) — Farmingdale, NY
8. TPC Sawgrass (Players Stadium) — Ponte Vedra Beach, FL
9. Bandon Dunes Golf Course — Bandon, OR
10. Erin Hills Golf Course — Erin, WI
11. Bandon Trails — Bandon, OR
12. The Lido at Sand Valley — Nekoosa, WI
13. Spyglass Hill Golf Course — Pebble Beach, CA
14. Old Macdonald — Bandon, OR
15. Arcadia Bluffs (Bluffs) — Arcadia, MI
16. Pasatiempo Golf Club — Santa Cruz, CA
17. Blackwolf Run (River) — Kohler, WI
18. The Pete Dye Course at French Lick Resort — French Lick, IN
19. Chambers Bay Golf Club — University Place, WA
20. Streamsong Resort (Red) — Streamsong, FL
21. Sand Valley at Sand Valley Resort — Nekoosa, WI
22. Manele Golf Course — Lanai City, HI
23. Kapalua Resort (Plantation) — Kapalua, Maui, HI
24. Landmand — Homer, NE
25. Mammoth Dunes at Sand Valley Resort — Nekoosa, WI
26. Streamsong Resort (Blue) — Streamsong, FL
27. Sheep Ranch — Bandon, OR
28. Harbour Town Golf Links — Hilton Head Island, SC
29. The Highland Course at Primland — Meadows of Dan, VA
30. Pinehurst Resort (No. 10) — Pinehurst, NC
31. Gamble Sands — Brewster, WA
32. Pinehurst Resort (No.4) — Pinehurst, NC
33. Streamsong Resort (Black) — Streamsong, FL
34. Fields Ranch PGA of America Frisco (East) — Frisco, TX
35. Black Desert — Ivins, UT
36. The Prairie Club (Dunes) — Valentine, NE
37. Forest Dunes Golf Club — Roscommon, MI
38. Yale Golf Course — New Haven, CT
39. The Greenbrier (Old White TPC) — White Sulphur Springs, WV
40. Torrey Pines Golf Course (South) — La Jolla, CA
41. Pronghorn Club at Juniper Reserve (Nicklaus) — Bend, OR
42. Omni Homestead (Cascades) — Hot Springs, VA
43. Mauna Kea Golf Course — Kohala Coast, HI
44. Tobacco Road Golf Club — Sanford, NC
45. Sea Island Golf Club (Seaside) — St. Simons Island, GA
46. Ozarks National at Big Cedar Lodge — Hollister, MO
47. The Broadmoor Golf Club (East) — Colorado Springs, CO
48. Fallen Oak Golf Club — Saucier, MS
49. Sentryworld Golf Course — Stevens Point, WI
50. Cabot Citrus Farms (Karoo) — Brooksville, FL
51. Sedge Valley at Sand Valley — Nekoosa, WI
52. Cordevalle Golf Club — San Martin, CA
53. Arcadia Bluffs (South) — Bear Lake, MI
54. The Links at Spanish Bay — Pebble Beach, CA
55. Marquette Golf Club (Greywalls) — Marquette, MI
56. Paa-Ko Ridge Golf Club — Sandia Park, NM
57. Wilderness Club — Eureka, MT
58. The Quarry at Giants Ridge — Biwabik, MN
59. Wolf Creek Golf Club — Mesquite, NV
60. Pine Needles Lodge and Golf Club — Southern Pines, NC
61. Tetherow Golf Club — Bend, OR
62. PGA West (Stadium) — La Quinta, CA
63. The Loop (Black) — Roscommon, MI
64. Nemacolin Woodlands Resort & Spa (Mystic Rock) — Farmington, PA
65. Whistling Straits (Irish) — Haven, WI
66. The Golf Courses of Lawsonia (Links) — Green Lake, WI
67. Wynn Golf Club — Las Vegas, NV
68. The Loop (Red) — Roscommon, MI
69. Crosswater Golf Club — Sunriver, OR
70. Tullymore Golf Resort — Stanwood, MI
71. Red Sky Ranch and Golf Club (Fazio) — Wolcott, CO
72. The Wilderness at Fortune Bay — Tower, MN
73. Makai Golf Club — Princeville, Kauai, HI
74. Cascata Golf Club — Boulder City, NV
75. Golden Horseshoe Golf Club (Gold) — Williamsburg, VA
76. Cog Hill Golf and Country Club (No. 4 Dubsdread) — Lemont, IL
77. Fields Ranch PGA of America Frisco (West) — Frisco, TX
78. Taconic Golf Club — Williamstown, MA
79. The Dunes Golf and Beach Club — Myrtle Beach, SC
80. The Classic at Maddens Resort — Brainerd, MN
81. Payne's Valley at Big Cedar Lodge — Hollister, MO
82. Mossy Oak Golf Club — West Point, MS
83. Edgewood Tahoe Golf Course — Lake Tahoe, NV
84. Wild Horse Golf Course — Gothenburg, NE
85. Black Mesa Golf Club — Espanola, NM
86. Trump National Doral Miami (Blue Monster) — Miami, FL
87. Red Sky Ranch and Golf Club (Norman) — Wolcott, CO
88. Mid Pines Inn and Golf Club — Southern Pines, NC
89. The Park at West Palm Beach — West Palm Beach, FL
90. The Prairie Club (Pines) — Valentine, NE
91. Firestone Country Club (South) — Akron, OH
92. Blackwolf Run (Meadow Valleys) — Kohler, WI
93. Quintero Golf Club — Peoria, AZ
94. Buffalo Ridge Golf Club at Big Cedar Lodge — Hollister, MO
95. TPC San Antonio (Oaks) — San Antonio, TX
96. Wine Valley Golf Club — Walla Walla, WA
97. The PFAU Course at Indiana University — Bloomington, IN
98. Southern Pines Golf Club — Southern Pines, NC
99. Reynolds Lake Oconee (Great Waters) — Eatonton, GA
100. Bay Harbor Golf Club (Links/Quarry) — Bay Harbor, MI
