Name,City,State,Country,Type,Holes,Clips
#2 Green,,,US,Public,18,0
#2 Tee Red,,,US,Public,18,0
#2 Tee White,,,US,Public,18,0
#8 White Tee,,,US,Public,18,0
10TH FAIRWAY,,,US,Public,18,0
10TH GREEN,,,US,Public,18,0
10TH TEE BOX,,,US,Public,18,0
11TH FAIRWAY,,,US,Public,18,0
11TH GREEN,,,US,Public,18,0
11TH SAND,,,US,Public,18,0
11TH TEE BOX,,,US,Public,18,0
12TH FAIRWAY,,,US,Public,18,0
12TH GREEN,,,US,Public,18,0
12TH TEE,,,US,Public,18,0
13TH FAIRWAY,,,US,Public,18,0
13TH GREEN,,,US,Public,18,0
13TH SAND,,,US,Public,18,0
13TH TEE BOX,,,US,Public,18,0
14TH FAIRWAY,,,US,Public,18,0
14TH GREEN,,,US,Public,18,0
14TH TEE BOX,,,US,Public,18,0
15TH FAIRWAY,,,US,Public,18,0
15TH GREEN,,,US,Public,18,0
15TH TEE BOX,,,US,Public,18,0
16TH FAIRWAY,,,US,Public,18,0
16TH GREEN,,,US,Public,18,0
16TH TEE,,,US,Public,18,0
17TH FAIRWAY,,,US,Public,18,0
17TH TEE,,,US,Public,18,0
18TH FAIRWAY,,,US,Public,18,0
18TH GREEN,,,US,Public,18,0
18TH SAND,,,US,Public,18,0
18TH TEE,,,US,Public,18,0
1st Fairway,,,US,Public,18,0
1st Green,,,US,Public,18,0
1ST TEE,,,US,Public,18,0
1st Tee box,,,US,Public,18,0
2nd Fairway,,,US,Public,18,0
2nd Green,,,US,Public,18,0
2nd Tee Box,,,US,Public,18,0
3rd Fairway,,,US,Public,18,0
3rd Green,,,US,Public,18,0
3rd Tee Box,,,US,Public,18,0
4th Fairway,,,US,Public,18,0
4th Green,,,US,Public,18,0
4TH TEE,,,US,Public,18,0
4th Tee Box,,,US,Public,18,0
5th Fairway,,,US,Public,18,0
5th Green,,,US,Public,18,0
5TH TEE,,,US,Public,18,0
5th Tee Box,,,US,Public,18,0
